Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,Cover Id
10166380,Maus,Art Spiegelman,"Spiegelman, Art",Cristina Previtali,"=""8806202340""","=""9788806202347""",5,4.54,Einaudi,Paperback,291,2010,1986,,2018/07/07,,,read,,,,1,,,0,,,,,,1327271246l
10041173,Blankets,Craig Thompson,"Thompson, Craig","Claudia Manzolelli, Luca Sofri","=""8817043737""","=""9788817043731""",5,4.05,Rizzoli Lizard,Hardcover,592,2010,2003,,2018/07/07,,,read,,,,1,,,0,,,,,,1327489379l
15713406,The Shape of Design,Frank Chimero,"Chimero, Frank",,"=""0985472200""","=""9780985472207""",3,3.84,n/a,Kindle Edition,131,2012,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1340146013l
22663043,Un drago a forma di nuvola,Ettore Scola,"Scola, Ettore",Ivo Milazzo,"=""""","=""9788865432167""",4,4.00,Bao Publishing,Hardcover,106,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1404490149l
22758923,The Best Interface Is No Interface: The Simple Path to Brilliant Technology,Golden Krishna,"Krishna, Golden",,"=""0133890333""","=""9780133890334""",3,4.05,New Riders Publishing,Paperback,256,2015,2015,,2018/07/07,,,read,,,,1,,,0,,,,,,1410759357l
18695596,Il blu è un colore caldo,Julie Maroh,"Maroh, Julie",Federica Zicchiero,"=""8817069930""","=""9788817069939""",4,3.92,Rizzoli Lizard,Paperback,158,2013,2010,,2018/07/07,,,read,,,,1,,,0,,,,,,1382376085l
2568939,Black Hole,Charles Burns,"Burns, Charles",,"=""0375714723""","=""9780375714726""",3,3.83,Pantheon,Paperback,368,2008,1995,,2018/07/07,,,read,,,,1,,,0,,,,,,1320548959l
18077873,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0804127441""","=""9780804127448""",4,4.19,Random House Audio,Audio CD,,2014,2009,,2018/07/07,,,read,,,,1,,,0,,,,,,1393222361l
15731414,Il Grande Male,David B.,"B., David",Francesca Scala,"=""887618144X""","=""9788876181443""",4,3.89,Coconino Press,Paperback,384,2010,2002,,2018/07/07,,,read,,,,1,,,0,,,,,,1341167529l
23898508,"Marbles: Io, Michelangelo e il disturbo bipolare",Ellen Forney,"Forney, Ellen",,"=""""","=""""",4,3.96,Edizioni BD,Kindle Edition,256,2014,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1419613277l
18522449,Diario del cattivo papà,Guy Delisle,"Delisle, Guy",,"=""8817069663""","=""9788817069663""",4,3.56,Rizzoli Lizard,Paperback,192,2013,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1379704138l
27304674,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""1627652736""","=""9781627652735""",4,3.96,Perfection Learning,Hardcover,,1994,1993,,2018/07/07,,,read,,,,1,,,0,,,,,,1530521502l
18465634,This One Summer,Mariko Tamaki,"Tamaki, Mariko",Jillian Tamaki,"=""159643774X""","=""9781596437746""",5,3.67,First Second,Paperback,319,2014,2014,,2018/07/07,,,read,,,,1,,,0,,,,,,1382759134l
16283107,"Addio, Chunky Rice",Craig Thompson,"Thompson, Craig",Claudia Manzolelli,"=""881705867X""","=""9788817058674""",4,3.80,Rizzoli Lizard,Paperback,126,2012,1999,,2018/07/07,,,read,,,,1,,,0,,,,,,1354966883l
22027081,La gigantesca barba malvagia,Stephen    Collins,"Collins, Stephen",Leonardo Favia,"=""8865432292""","=""9788865432297""",4,4.04,Bao Publishing,Hardcover,240,2014,2013,,2018/07/07,,,read,,,,1,,,0,,,,,,1398893794l
22377730,Shenzhen,Guy Delisle,"Delisle, Guy",Giovanni Zucca,"=""8817072826""","=""9788817072823""",4,3.75,Rizzoli Lizard,Paperback,150,2014,2000,,2018/07/07,,,read,,,,1,,,0,,,,,,1401475383l
24702251,Vincent,Barbara Stok,"Stok, Barbara",,"=""""","=""""",4,4.10,BAO,Kindle Edition,,2014,2012,,2018/07/07,,,read,,,,1,,,0,,,,,,1422304032l
15720111,Cronache di Gerusalemme,Guy Delisle,"Delisle, Guy","Francesca Martucci, Andrea Merico","=""8817057304""","=""9788817057301""",5,4.17,Rizzoli Lizard,Paperback,336,2012,2011,,2018/07/07,,,read,,,,1,,,0,,,,,,1340546034l
12214502,Habibi,Craig Thompson,"Thompson, Craig",,"=""0571241328""","=""9780571241323""",5,4.03,Faber  Faber,Hardcover,672,2011,2011,,2018/07/07,,,read,,,,1,,,0,,,,,,1328544897l
